sample_id,repo,commit_hash,entity_name,entity_signature,javadoc_change_type,method_change_type,quality,issue_id,issue_summary
sample_0001,apache/commons-lang,bda0680763ad90264b9cca8233bb3369c03f4e13,toEpochMillis,public static long toEpochMillis(final Instant instant),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1683,Add Instants.toMillisSince(Instant)
sample_0002,apache/commons-lang,d95e17f1c173a6259886e577cf5acc914ec44c2d,toMillisInt,public static int toMillisInt(final Duration duration),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1679,Add DurationUtils.toMillisLong(Duration)
sample_0003,apache/commons-lang,093cf417bfc2a295c62fd541d39a994fa1d37804,format,"static String format(final Token[] tokens, final long years, final long months, final long days, final long hours, final long minutes, final long seconds, final long milliseconds, final boolean padWithZeros)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0004,apache/commons-lang,093cf417bfc2a295c62fd541d39a994fa1d37804,formatDuration,"public static String formatDuration(final long durationMillis, final String format, final boolean padWithZeros)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0005,apache/commons-lang,093cf417bfc2a295c62fd541d39a994fa1d37804,formatDurationWords,"public static String formatDurationWords(final long durationMillis, final boolean suppressLeadingZeroElements, final boolean suppressTrailingZeroElements)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0006,apache/commons-lang,093cf417bfc2a295c62fd541d39a994fa1d37804,formatPeriod,"public static String formatPeriod(final long startMillis, final long endMillis, final String format, final boolean padWithZeros, final TimeZone timezone)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0007,apache/commons-lang,093cf417bfc2a295c62fd541d39a994fa1d37804,lexx,static Token[] lexx(final String format),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0008,apache/commons-lang,2c0b8483606efbfbaccf600e3bc31fe10533e004,getGmtTimeZone,public static TimeZone getGmtTimeZone(final String pattern),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1674,FastTimeZone.getGmtTimeZone() Javadoc promises null on no-match; regex always matches.
sample_0009,apache/commons-lang,2c0b8483606efbfbaccf600e3bc31fe10533e004,getTimeZone,public static TimeZone getTimeZone(final String id),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1674,FastTimeZone.getGmtTimeZone() Javadoc promises null on no-match; regex always matches.
sample_0010,apache/commons-lang,1aa5352287f581b628c48c6f61e38866d4a2f64a,replace,"public StrBuilder replace(final StrMatcher matcher, final String replaceStr, final int startIndex, int endIndex, final int replaceCount)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0011,apache/commons-lang,8e2d1bed8623e0f5b281504d151476689f21690a,isRegistered,"static boolean isRegistered(final Object lhs, final Object rhs)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1669,CompareToBuilder lacks cycle guard on Object[] recursion.
sample_0012,apache/commons-lang,79380dba919716065f5e16465671782119449a36,toMillisInt,public static int toMillisInt(final Duration duration),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1657,DurationUtils.toMillisInt() throws ArithmeticException when
sample_0013,apache/commons-lang,b401c34a438f0dd7ec1e98939fb68232af86a448,clear,public StrBuilder clear(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1652,StrBuilder.readFrom(Readable) exposes stale internal buffer to Readable parameter
sample_0014,apache/commons-lang,552d7d07d06708961b12272280cca3704901b835,REGISTRY,"private static final ThreadLocal<IdentityHashMap<Object, Object>> REGISTRY",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1648,"ToStringStyle.appendDetail(StringBuffer,String,Collection|Map) bypass cycle registry."
sample_0015,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,setAccessible,"static boolean setAccessible(final boolean forceAccessible, final Field field)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
sample_0016,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,setAccessible,boolean setAccessible(final Field field),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
sample_0017,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,CompareToBuilder,public class CompareToBuilder extends AbstractReflection implements Builder<Integer>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
sample_0018,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,EqualsBuilder,public class EqualsBuilder extends AbstractReflection implements Builder<Boolean>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
sample_0019,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,reflectionAppend,"private void reflectionAppend(final Object lhs, final Object rhs, final Class<?> clazz)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
sample_0020,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,HashCodeBuilder,public class HashCodeBuilder extends AbstractReflection implements Builder<Integer>,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
sample_0021,apache/commons-lang,9b95001e9801399c62794aadacf198c787d960a9,reflectionAppend,"private static void reflectionAppend(final Object object, final Class<?> clazz, final HashCodeBuilder builder, final boolean useTransients, final String[] excludeFields, final boolean forceAccessible)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1825,EqualsBuilder.reflectionAppend tries to set visibility on excluded fields
sample_0022,apache/commons-lang,b353b31066b0f0626fcc743039161b2f2be63a1f,reflectionAppend,"private static void reflectionAppend( final Object lhs, final Object rhs, final Class<?> clazz, final CompareToBuilder builder, final boolean useTransients, final String[] excludeFields, final boolean forceAccessible)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1356,Add bypass option for classes to recursive and reflective EqualsBuilder
sample_0023,apache/commons-lang,b353b31066b0f0626fcc743039161b2f2be63a1f,reflectionAppend,"private static void reflectionAppend(final Object object, final Class<?> clazz, final HashCodeBuilder builder, final boolean useTransients, final String[] excludeFields, final boolean setAccessible)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1356,Add bypass option for classes to recursive and reflective EqualsBuilder
sample_0024,apache/commons-lang,eb202b0b905ac3bbea742f1aad426f5a6c7d604d,FailableConsumer,"@FunctionalInterface public interface FailableConsumer<T, E extends Throwable>",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1641,"Add FailableConsumer.accept(FailableConsumer<T, E>, T)"
sample_0025,apache/commons-lang,422ab637736e06076c04a768ce03ecc2e5344937,Processor,public class Processor,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Javadoc
sample_0026,apache/commons-lang,e9d7d3508bd825fdce00d673f06968a75bb50b23,Validate,@Deprecated public Validate(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-771,DateUtils.ceiling does not behave correctly for dates on the boundaries
sample_0027,apache/commons-lang,41ff88094519308750fdcca6b1f7525550bde55f,CharRange,"final class CharRange implements Iterable<Character>, Serializable",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Adjust Javadoc since tags
sample_0028,apache/commons-lang,41ff88094519308750fdcca6b1f7525550bde55f,Range,public class Range<T> implements Serializable,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,,Adjust Javadoc since tags
sample_0029,apache/commons-lang,7489d6e21334673dc56399de7decaaa00f11ebcf,getCharRanges,Set<CharRange> getCharRanges(),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1572,"StringUtils.abbreviate(String, String, int) contract violations"
sample_0030,apache/commons-lang,e1ffb6ea0b9e21ea71c4540b0fca4db8e4c1dd93,sleepQuietly,public static void sleepQuietly(final Duration duration),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1816,ArrayUtils contains/indexOf/indexesOf with tolerance fail to match NaN values
sample_0031,apache/commons-lang,4052e9862bf540f0b294bcf58aad5b5e85eae4ad,getShortClassName,public static String getShortClassName(final Class<?> cls),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1818,ClassUtils.getShortClassName(Class) misinterprets '$' in legitimate class names
sample_0032,apache/commons-lang,1418a770ba436d15693c3bb29a67e501c2008274,accept,protected boolean accept(final Class<?> clazz),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1452,RecursiveToStringStyle and MultilineRecursiveToStringStyle shouldn't recurse into a java.math.BigDecimal
sample_0033,apache/commons-lang,5d46a39e450f5dd69027329c9bc0542c113a04be,random,"public static String random(int count, int start, int end, final boolean letters, final boolean digits, final char[] chars, final Random random)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,#1571,"Fix handling of null marker in StringUtils.abbreviate(String, String, int, int)"
sample_0034,apache/commons-lang,8089a0c2d3207ed26531f877352336baf1c6c5bb,isParsable,public static boolean isParsable(final String str),JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1806,"NumberUtils.isParsable(""1.f"") should return true"
sample_0035,apache/commons-lang,d9de2fd5b8c65506b1ab14df631cc26ffcd647dc,SOFT_MAX_ARRAY_LENGTH,@Deprecated public static int SOFT_MAX_ARRAY_LENGTH,JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1810,Public static fields must be final
sample_0036,apache/commons-lang,623235ebca46bea1a6e8cc02b7d7084c1698ab80,shuffle,"public static void shuffle(final boolean[] array, final Random random)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1811,ArrayUtils.shuffle() throws NullPointerException for null array input
sample_0037,apache/commons-lang,623235ebca46bea1a6e8cc02b7d7084c1698ab80,shuffle,"public static void shuffle(final byte[] array, final Random random)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1811,ArrayUtils.shuffle() throws NullPointerException for null array input
sample_0038,apache/commons-lang,623235ebca46bea1a6e8cc02b7d7084c1698ab80,shuffle,"public static void shuffle(final char[] array, final Random random)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1811,ArrayUtils.shuffle() throws NullPointerException for null array input
sample_0039,apache/commons-lang,623235ebca46bea1a6e8cc02b7d7084c1698ab80,shuffle,"public static void shuffle(final double[] array, final Random random)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1811,ArrayUtils.shuffle() throws NullPointerException for null array input
sample_0040,apache/commons-lang,623235ebca46bea1a6e8cc02b7d7084c1698ab80,shuffle,"public static void shuffle(final float[] array, final Random random)",JAVADOC_MODIFICATION,METHOD_MODIFICATION,A,LANG-1811,ArrayUtils.shuffle() throws NullPointerException for null array input
sample_0041,apache/commons-lang,9abd79314b19676c54eab02d441cfb3051bb2d8c,isAsciiNumeric,public static boolean isAsciiNumeric(final int ch),JAVADOC_ADDITION,METHOD_ADDITION,B,#1685,"Add CharUtils isHex(int), isAsciiNumeric(int), isOctal(int)."
sample_0042,apache/commons-lang,9abd79314b19676c54eab02d441cfb3051bb2d8c,isHex,public static boolean isHex(final int ch),JAVADOC_ADDITION,METHOD_ADDITION,B,#1685,"Add CharUtils isHex(int), isAsciiNumeric(int), isOctal(int)."
sample_0043,apache/commons-lang,9abd79314b19676c54eab02d441cfb3051bb2d8c,isOctal,public static boolean isOctal(final byte ch),JAVADOC_ADDITION,METHOD_ADDITION,B,#1685,"Add CharUtils isHex(int), isAsciiNumeric(int), isOctal(int)."
sample_0044,apache/commons-lang,bda0680763ad90264b9cca8233bb3369c03f4e13,toMillisSince,public static long toMillisSince(final Instant instant),JAVADOC_ADDITION,METHOD_ADDITION,B,#1683,Add Instants.toMillisSince(Instant)
sample_0045,apache/commons-lang,bd7ffdf5b27004908f10345f3048d4790291fbe0,trimControl,public static String trimControl(final String str),JAVADOC_ADDITION,METHOD_ADDITION,B,#1681,Add StringUtils.trimControl(String)
sample_0046,apache/commons-lang,8e2d1bed8623e0f5b281504d151476689f21690a,getRegisterPair,"static Pair<IDKey, IDKey> getRegisterPair(final Object lhs, final Object rhs)",JAVADOC_DELETION,METHOD_DELETION,C,#1669,CompareToBuilder lacks cycle guard on Object[] recursion.
sample_0047,apache/commons-lang,b353b31066b0f0626fcc743039161b2f2be63a1f,ToStringBuilder,"public ToStringBuilder(final Object object, ToStringStyle style, StringBuffer buffer)",JAVADOC_DELETION,METHOD_DELETION,C,LANG-1356,Add bypass option for classes to recursive and reflective EqualsBuilder
sample_0048,apache/commons-lang,8089a0c2d3207ed26531f877352336baf1c6c5bb,isParsableDecimal,"private static boolean isParsableDecimal(final String str, final int beginIdx)",JAVADOC_DELETION,METHOD_DELETION,C,LANG-1806,"NumberUtils.isParsable(""1.f"") should return true"
sample_0049,apache/commons-lang,19adcd792fb514e741cabdeda87e41f405fed268,MAX_DIMENSIONS,EXCLUDE } /** * The maximum number of array dimensions. */ private static final int MAX_DIMENSIONS,JAVADOC_DELETION,METHOD_DELETION,C,,Sort members
sample_0050,apache/commons-lang,19adcd792fb514e741cabdeda87e41f405fed268,MAX_DIMENSIONS,private static final int MAX_DIMENSIONS,JAVADOC_DELETION,METHOD_DELETION,C,,Sort members
